"Titular	Etiqueta	Cuerpo	Tema	URL	Fecha	Fuente	Fecha_extraccion";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Construir una política de inmigracion y asilo común ¿misión imposible?	VERDADERO	Han transcurrido más de veinte años desde que en el Consejo Europeo de Tampere de 1999 se pusiera en marcha el proyecto de construcción de una política de inmigración y asilo común. El principal objetivo era formular una política pública que fuera equilibrada y que permitiera la gestión de la inmigración legal, así como controlar los flujos migratorios irregulares a partes iguales. Además, todo ello estaría regido por el principio de solidaridad y la equidad en el reparto de la carga entre los Estados Miembros (EEMM). Los ejes sobre los que esta política debía construirse eran 1) la necesidad de un enfoque global en la cooperación con los países de origen y tránsito"; 2) el desarrollo de un sistema europeo común de asilo; 3) la importancia de garantizar un trato justo a los nacionales de terceros países residentes en la UE;" y 4) la gestión eficaz de los flujos migratorios. Aunque estas fueron las bases iniciales sobre las que se comenzó a construir, la evolución que ha seguido la política migratoria europea muestra asimetrías en la profundización entre los distintos pilares. Parte del contenido incorporado en Tampere ha quedado diluido en un magma de reproches y tensiones entre los gobiernos que ha impedido el avance en la dirección que marcaba la hoja de ruta original. La identificación de la migración como un fenómeno que constituía una amenaza para la sociedad de acogida ha marcado tanto el marco discursivo como la política europea. De este modo, la política migratoria ha pasado a engrosar el bloque de asuntos vinculados con la seguridad dejando de lado otras cuestiones imprescindibles para que, efectivamente, sea posible la construcción de una verdadera política de inmigración y asilo.	ASILO Y REFUGIO	https://doi.org/10.36852/2695-4427_2022_06.08	2022-03-23	Revista Diecisiete Investigación Interdisciplinar para los Objetivos de Desarrollo Sostenible	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Política migratoria colombiana 2010-2020: barreras emergentes y retos en educación	VERDADERO	Este artículo presenta una revisión documental de investigaciones sobre la política migratoria de Colombia y su impacto en la educación, en el periodo 2010-2020. El análisis de contenido identifica tres categorías clave: política migratoria y educación obligatoria";" barreras emergentes en educación obligatoria y retos en política migratoria y educación obligatoria. Esto demuestra el interés creciente por analizar el impacto de la migración desde Venezuela hacia Colombia en la educación primaria y secundaria. Cuantitativamente, las aportaciones científicas aumentan a partir de 2015, debido al incremento de flujos migratorios venezolanos, tratando problemáticas y retos políticos y educativos.	POLÍTICA Y LEYES	https://doi.org/10.11144/javeriana.m15.pmcb	2022-04-30	Magis Revista Internacional de Investigación en Educación	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"DISCURSO POLÍTICO DE VOX SOBRE LOS MENORES EXTRANJEROS NO ACOMPAÑADOS	VERDADERO	""&lt";p&gt;El importante ascenso de Vox en el último año a nivel electoral ha contribuido a introducir nuevos discursos hasta el momento marginados en la agenda política de la opinión pública, siendo el discurso en contra de la inmigración y del islam bandera de esta organización a la hora de presentarse a nivel electoral. Coincide todo ello con que los Menores Extranjeros No Acompañados se han convertido en fuente de controversia política, debido a diferentes sucesos y a su situación política-legal. Por esto, atendiendo a este contexto, se propone estudiar el discurso de Vox sobre los MENAs en la red social Twitter durante el año 2019. Para ello, se utiliza la técnica de investigación cualitativa a través del análisis de discurso cuyo objeto de investigación es el discurso de Vox sobre los MENAs en Twitter durante el citado año. Los resultados de esta investigación arrojan tres argumentos tipo identificados en la aproximación de Vox a este fenómeno en esta red social: 1) “MENA” como parte de la deriva “progre”: Construyendo alternativa desde la “España Viva”. 2) Guerra al asistencialismo social universal: En defensa de un Estado Social nativista. 3) Cuestión de seguridad&lt;strong&gt;: &lt;/strong&gt;defender a nuestros barrios de los MENAs intrusos.&lt;/p&gt;&lt;div&gt;&lt;"img src=""""/index.php/inguruak/editor/viewMetadata/"""" alt="""""""" /&gt";&lt;/div&gt;"	INFANCIA	https://doi.org/10.18543/inguruak-69-2020-art04	2020-12-23	INGURUAK REVISTA VASCA DE SOCIOLOGÍA Y CIENCIA POLÍTICA	2026-02-23
La cobertura informativa de la inmigración en Televisión Española. El caso del barco Aquarius	VERDADERO	La presente investigación compara la cobertura informativa de La 1 de Televisión Española durante la llegada de las 626 personas rescatadas por el barco Aquarius en el mar Mediterráneo en 2018 con otros temas de inmigración, que se emitieron entre el 17 al 23 de junio de 2018. La investigación utiliza el análisis de contenido para revisar cinco aspectos: análisis temático, duración, fuentes utilizadas, terminología y decisiones periodísticas. Los resultados expresan que en la cobertura del Aquarius se utilizó un discurso empoderador, diferente de la tradicional cobertura de otros hechos migratorios marcados por la criminalización de estas personas. Sin embargo, se observa la escasa presencia de las personas migrantes como fuentes noticiosas. No se trabaja el testimonio en profundidad para conocer sus historias personales, sus motivaciones y anhelos.	HUMANITARIO	https://doi.org/10.5209/esmp.73744	2021-01-20	Estudios sobre el Mensaje Periodístico	2026-02-23
Periodistas en la frontera: análisis de su trabajo cubriendo informaciones de inmigración	VERDADERO	Este estudio analiza la cobertura mediatica de la inmigracion en Melilla, frontera terrestre entre Espana y Marruecos, y el papel que juegan periodistas y otros actores en la difusion de informacion sobre inmigracion. A traves de un trabajo en terreno, se analiza que tipo de profesionales de la informacion y medios estan presentes en los espacios fronterizos, cuales son las logicas que siguen los gabinetes de prensa institucionales a la hora de proveer informacion y cuales son las condiciones particulares en que se ejerce periodismo en un espacio de excepcionalidad juridica. Entre los resultados obtenidos, destacamos la predominancia de un mercado mediatico aparentemente diverso pero muy dependiente de la publicidad institucional, la relevancia de figuras como el activista o el periodista freelance en la emision de informacion diferenciada sobre inmigracion y las dificultades para trabajar que enfrentan periodistas ante la arbitrariedad y oscurantismo en el acceso a imagenes y datos.	VIGILANCIA DE FRONTERAS	https://recyt.fecyt.es/index.php/EPI/article/view/71973	2020-03-31	El Profesional de la Informacion	2026-02-23
Provocative insinuations	VERDADERO	En este artículo analizamos oracio-nes que, sin constituir explícitamente discurso de odio, no obstante transmiten un mensaje de odio. Por ejemplo, en el titular “Refugiado iraquí es condenado en Alemania por violar y asesinar una chica adolescente”, la presencia de “refugiado iraquí” no parece arbitraria. Al contrario, invita una inferencia racista en contra de los refugiados iraquíes. Argumentamos que estas inferencias no pueden ser descritas como slurs, términos neutros utilizados como insultos, dogwhistles o implica-turas conversacionales. En cambio, proponemos caracterizar estas inferencias como insinuacio-nes, concretamente insinuaciones provocativas, debido a que ninguna respuesta parece efectiva a la hora de bloquearlas. In this paper we analyse utterances that, without explicitly constituting hate speech, nevertheless convey a hateful message. For example, in the headline ‘Iraqi Refugee is convicted in Germany of raping and murdering teenage girl’, the presence of ‘Iraqi refugee’ does not seem arbitrary. To the contrary, it is responsible for inviting a racist inference against Iraqi refugees. We defend that these inferences cannot be described as slurs, ethnic or social terms used as insults, dogwhistles or conversational implicatures. Rather, we propose that these inferences are insinuations, specifically provocative insinuations, as no conversational response seems effective at blocking them.	CONVIVENCIA Y RACISMO	https://doi.org/10.6018/daimon.481891	2021-09-07	Daímon	2026-02-23
Análisis de los bulos sobre covid-19 desmentidos por Maldita y Colombiacheck: efectos de la infodemia sobre el comportamiento de la sociedad	VERDADERO	Los estudios actuales sobre los efectos de la desinformación se han centrado especialmente en la política, cuando las noticias falsas sobre salud son potencialmente más perjudiciales para el bienestar del consumidor que los bulos políticos. El ejemplo más evidente de ello es la actual situación de crisis generada por la pandemia del coronavirus. La Organización Mundial de la Salud alertó, en febrero de 2020, que existía otra pandemia asociada al coronavirus: la infodemia, es decir, la información falsa que circula sobre temas de salud y que tiene consecuencias directas en el bienestar de los ciudadanos. Para profundizar en el fenómeno de la infodemia originada por el coronavirus, el objetivo de esta investigación, de proyección internacional, es identificar los encuadres (media frames) que predominan en los bulos relacionados con la covid-19 (N = 708) detectados en las plataformas de verificación Maldita.es y Colombiacheck. Desde una perspectiva inductiva –metodología cualitativa–, se infirieron cinco encuadres para analizar este tipo de infodemia: “impacto”, “polarización”, “superremedios”, “causas” y “ciberanzuelo” (clickbait). Los resultados revelaron que el encuadre dominante es el “impacto”, que hace referencia a aquellos bulos que generan en la audiencia conductas relacionadas con el miedo y el desconcierto. En cierto sentido, estos resultados guardan su lógica, porque, teniendo en cuenta las características intrínsecas de los bulos que incluyen el encuadre “impacto”, esa desinformación induce en el usuario la necesidad urgente de alarmar o alertar a otros individuos.	SANIDAD	https://doi.org/10.5294/pacla.2022.25.1.7	2022-03-17	Palabra Clave	2026-02-23
Honduras 2019: persistente inestabilidad económica y social y debilidad institucional	VERDADERO	Este trabajo analiza el escenario en que se encontró Honduras durante el año 2019, a través de la revisión de indicadores económicos y de los acontecimientos sociales y políticos más relevantes acaecidos en el país centroamericano. El 2019 se distinguió por la persistencia o empeoramiento de problemas de larga data. En materia económica, los escasos avances resultan insuficientes para reducir los altos niveles de pobreza y desigualdad. En materia social, la violencia continúa como uno de los compromisos pendientes de la segunda administración de Juan Orlando Hernández. Mientras que en materia política la corrupción vuelve al centro del debate y no cesan los abusos de poder y las violaciones a los derechos humanos. Todos estos factores han aumentado el descontento social expresado en manifestaciones multitudinarias y provocado la emigración de miles de hondureños.	POLÍTICA Y LEYES	https://doi.org/10.4067/s0718-090x2020005000112	2020-01-01	Revista de ciencia política	2026-02-23
Grupos minoritarios en la ficción televisiva española: análisis de contenido y percepciones ciudadanas para la creación de un índice de diversidad	VERDADERO	El artículo analiza la diversidad de género, orientación sexual, nacionalidad y edad en las series de televisión españolas emitidas en prime time durante el año 2016 y el primer semestre de 2017. A partir de un análisis de contenido realizado a una muestra de más de 700 personajes se creó un índice de diversidad y se realizó una encuesta para analizar la percepción de la población. De este modo, en este trabajo se presentan los resultados de dos estudios, además de la creación de un índice elaborado ad-hoc. Una vez analizados los datos, se concluye que, en general, la diversidad mostrada en la ficción audiovisual española es baja (0,76 en una escala de 0-4), con diferencias importantes entre las series; sin embargo cuando los ciudadanos españoles fueron preguntados sobre este aspecto, expresaron estar ligeramente de acuerdo (2,16 en una escala de 0-4) en que las mujeres, los mayores de 65 años o la población LGBT+ estaban correctamente representados en la ficción, mientras que no se mostraron ni en acuerdo o desacuerdo con que el porcentaje de los personajes no nacionales se correspondiera con la realidad	CONVIVENCIA Y RACISMO	https://doi.org/10.7764/cdi.46.1739	2020-01-01	Cuadernos info	2026-02-23
El islam en el espacio público de los barrios multiculturales del sur de Europa: el caso de Lavapiés, Madrid	VERDADERO	Resumen: En las actuales sociedades plurales no confesionales, los grupos religiosos entienden el acceso al espacio público como un derecho a la ciudad. Este derecho legitima su condición de actores sociales, que traducen como visibilización en el espacio público y participación en la vida política del municipio, a través de diversas nociones vinculadas a la modernidad y la transparencia. Para explorar esta hipótesis, este artículo examina el caso de los musulmanes bangladeshíes del multicultural barrio madrileño de Lavapiés, el cual presenta semejanzas con otros barrios multiculturales de ciudades del sur de Europa como Lisboa o Roma: un barrio afectado por un acelerado proceso de gentrificación y turistificación. Se analizan las circunstancias en las que esta comunidad intenta acceder al espacio público, con el fin de lograr una mayor legitimación y reconocimiento, teniendo en cuenta las diferentes prácticas y discursos que se despliegan en determinados eventos y festividades.Abstract: In current nondenominational plural societies, religious groups understand access to public space as a right to the city. This right legitimizes their status as social actors, who are entitled to have a public life and to be recognized, through various notions linked to modernity and transparency. To explore this hypothesis, this article examines the case of Bangladeshi Muslims in Madrid’s multicultural neighborhood of Lavapiés, which has similarities with other multicultural neighborhoods in southern European cities, which has similarities with other multicultural neighbourhoods in southern European cities, such as Lisbon or Rome: a barrio affected by an accelerated gentrification and touristification process. It analyzes the circumstances through which this community attempts to access public space, in order to achieve further legitimization and recognition, by bringing into account the different practices and discourses displayed in specific events and festivities.	CONVIVENCIA Y RACISMO	https://doi.org/10.5944/rdh.41.2020.27939	2020-12-30	Revista de Humanidades	2026-02-23
