Titular	Etiqueta	Cuerpo	Tema	URL	Fecha	Fuente	Fecha_extraccion
Presentación del ejemplar de la revista	VERDADERO	Hace 2 días - … Tomás Calvo Buezas, titulada *“Racismo, inmigración y mestizaje civilizador en tiempos del trumpismo” *. El día incluye también actividades paralelas, como la …	INMIGRACION	https://dialnet.unirioja.es/descarga/articulo/10641112.pdf	2026	dialnet.unirioja.es	2026-03-23 13:56:32
Parte II Diversidad cultural, interculturalidad e inclusión social de las personas migrantes	VERDADERO	Hace 5 días - El libro que presentamos se trata de una obra colectiva de carácter multidisciplinar que recoge las aportaciones de profesorado participante en algunas actividades …	INMIGRACION	https://www.torrossa.com/gs/resourceProxy?an=6146750&publisher=FZ1825#page=8		torrossa.com	2026-03-23 13:56:32
Exilio, identidad y patrimonio: el legado cultural vasco en Mar del Plata	VERDADERO	Hace 5 días - Esta presentación se inserta en un trabajo de mayor aliento que se propone analizar el patrimonio cultural legado por la inmigración vasca en la ciudad de Mar del Plata, …	INMIGRACION	https://www.researchgate.net/profile/Facundo-De-Feudis-Taboada-3/publication/402188128_Mosaicos_y_aguamaniles_cultura_material_memoria_e_identidad_migrante_en_la_arquitectura_domestica_de_la_ciudad_de_Mar_del_Plata_siglo_XX/links/69b80cd58c53216c011d19b1/Mosaicos-y-aguamaniles-cultura-material-memoria-e-identidad-migrante-en-la-arquitectura-domestica-de-la-ciudad-de-Mar-del-Plata-siglo-XX.pdf#page=63		researchgate.net	2026-03-23 13:56:32
La identidad de la sexta oleada de migrantes provenientes de Rusia: un abordaje léxico-conceptual	VERDADERO	Hace 5 días - … En el fondo “ inmigración ” se encuentran una serie de entrevistas realizadas en el marco de nuestra investigación doctoral que plantea como hipótesis central que …	INMIGRACION	https://www.researchgate.net/profile/Facundo-De-Feudis-Taboada-3/publication/402188128_Mosaicos_y_aguamaniles_cultura_material_memoria_e_identidad_migrante_en_la_arquitectura_domestica_de_la_ciudad_de_Mar_del_Plata_siglo_XX/links/69b80cd58c53216c011d19b1/Mosaicos-y-aguamaniles-cultura-material-memoria-e-identidad-migrante-en-la-arquitectura-domestica-de-la-ciudad-de-Mar-del-Plata-siglo-XX.pdf#page=98		researchgate.net	2026-03-23 13:56:32
Patrimonio simbólico y bienes patrimonializables: la herencia cultural de Medio Oriente en Mar del Plata	VERDADERO	Hace 5 días - … Como estudiantes en la carrera de historia, hemos notado que buena parte de la producción sobre inmigración en la ciudad se ha enfocado en los colectivos más …	INMIGRACION	https://www.researchgate.net/profile/Facundo-De-Feudis-Taboada-3/publication/402188128_Mosaicos_y_aguamaniles_cultura_material_memoria_e_identidad_migrante_en_la_arquitectura_domestica_de_la_ciudad_de_Mar_del_Plata_siglo_XX/links/69b80c42c325e338e8ea6f79/Mosaicos-y-aguamaniles-cultura-material-memoria-e-identidad-migrante-en-la-arquitectura-domestica-de-la-ciudad-de-Mar-del-Plata-siglo-XX.pdf#page=80		researchgate.net	2026-03-23 13:56:32
Entidades de economía social en sectores emergentes	VERDADERO	Hace 5 días - … La incorporación de la mujer al ámbito laboral, la masiva inmigración (y también la emigración), el envejecimiento paulatino de la población, el aumento de la renta y de …	INMIGRACION	https://buleria.unileon.es/handle/10612/27870		buleria.unileon.es	2026-03-23 13:56:32
Análisis de la vulnerabilidad sociodemográfica de las mujeres inmigrantes internacionales en el Área Metropolitana de Concepción, Chile, entre los años 2002 y …	VERDADERO	Hace 6 días - Esta investigación cuantitativa analiza la relación entre vulnerabilidades sociodemográficas y la inmigración de la población femenina en el Área Metropolitana de …	INMIGRACION	https://analesliteraturachilena.letras.uc.cl/index.php/RGNG/article/view/90336	2026	analesliteraturachilena.letras.uc.cl	2026-03-23 13:56:32
Invertir la lógica argumentativa: hacia el quid pro quo entre la sostenibilidad del sistema de pensiones y la garantía de los derechos de las personas migrantes …	VERDADERO	Hace 9 días - En el presente artículo se aborda la cuestión de la sostenibilidad del sistema público de pensiones desde un enfoque multidimensional y poniendo el foco en la defensa …	INMIGRACION	https://dialnet.unirioja.es/servlet/articulo?codigo=10629545	2026	dialnet.unirioja.es	2026-03-23 13:56:32
Las actitudes punitivas hacia los inmigrantes en España	VERDADERO	Hace 10 días - … y simbólica que ha adquirido la inmigración en los debates actuales sobre delito, … criminológicos que examinan la relación entre inmigración y sistema penal. Se realizó …	INMIGRACION	https://dialnet.unirioja.es/servlet/tesis?codigo=398395	2026	2026	2026-03-23 13:56:32
La respuesta social y territorial de la arquitectura frente a la emergencia migratoria.	VERDADERO	Hace 10 días - En 2020 se instaló un campamento improvisado en el muelle de Arguineguín, Gran Canaria, que llegó a albergar a 2.600 personas en condiciones de insalubridad y …	INMIGRACION	https://riuma.uma.es/entities/publication/e89abaf4-b62d-4be3-a8ee-1e99ac468a24	2026	2026	2026-03-23 13:56:32
