Titular	Etiqueta	Cuerpo	TEMA	Técnica	Modificación	Fecha
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Construir una política de inmigracion y asilo común ¿misión imposible?	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en ASILO Y REFUGIO: Se afirma sin base que el asilo se concede de forma automática, fraudulenta o masiva a personas que no cumplen requisitos.	ASILO Y REFUGIO	invención de concesiones o fraudes de asilo	Original: Construir una política de inmigracion y asilo común ¿misión imposible?. Se afirma sin base que el asilo se concede de forma automática, fraudulenta o masiva a personas que no cumplen requisitos.	2022-03-23
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Construir una política de inmigracion y asilo común ¿misión imposible?	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en ASILO Y REFUGIO: Se mezclan categorías jurídicas y contextos de persecución o guerra con argumentos de orden público para distorsionar el sentido del texto.	ASILO Y REFUGIO	confusión entre asilo, migración y seguridad	Original: Construir una política de inmigracion y asilo común ¿misión imposible?. Se mezclan categorías jurídicas y contextos de persecución o guerra con argumentos de orden público para distorsionar el sentido del texto.	2022-03-23
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Política migratoria colombiana 2010-2020: barreras emergentes y retos en educación	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en POLÍTICA Y LEYES: Se inventa una reforma legal, acuerdo de gobierno o imposición institucional que el texto original no contiene.	POLÍTICA Y LEYES	atribución de decisiones políticas inexistentes	Original: Política migratoria colombiana 2010-2020: barreras emergentes y retos en educación. Se inventa una reforma legal, acuerdo de gobierno o imposición institucional que el texto original no contiene.	2022-04-30
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Política migratoria colombiana 2010-2020: barreras emergentes y retos en educación	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en POLÍTICA Y LEYES: Se aíslan fragmentos sobre políticas o debates para insinuar cesiones, imposiciones o efectos extremos que el trabajo original no sostiene.	POLÍTICA Y LEYES	descontextualización normativa	Original: Política migratoria colombiana 2010-2020: barreras emergentes y retos en educación. Se aíslan fragmentos sobre políticas o debates para insinuar cesiones, imposiciones o efectos extremos que el trabajo original no sostiene.	2022-04-30
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: DISCURSO POLÍTICO DE VOX SOBRE LOS MENORES EXTRANJEROS NO ACOMPAÑADOS	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en INFANCIA: Se sustituye el enfoque de protección infantil por una narrativa inventada de amenaza o descontrol atribuida a menores migrantes.	INFANCIA	criminalización fabricada de menores	Original: DISCURSO POLÍTICO DE VOX SOBRE LOS MENORES EXTRANJEROS NO ACOMPAÑADOS. Se sustituye el enfoque de protección infantil por una narrativa inventada de amenaza o descontrol atribuida a menores migrantes.	2020-12-23
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: DISCURSO POLÍTICO DE VOX SOBRE LOS MENORES EXTRANJEROS NO ACOMPAÑADOS	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en INFANCIA: Se toman elementos reales sobre tutela, edad o centros y se reencuadran con un tono alarmista que presenta a los menores como problema social.	INFANCIA	reinterpretación narrativa de datos reales	Original: DISCURSO POLÍTICO DE VOX SOBRE LOS MENORES EXTRANJEROS NO ACOMPAÑADOS. Se toman elementos reales sobre tutela, edad o centros y se reencuadran con un tono alarmista que presenta a los menores como problema social.	2020-12-23
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: La cobertura informativa de la inmigración en Televisión Española. El caso del barco Aquarius	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en HUMANITARIO: Se falsean rescates, víctimas o actuaciones humanitarias para negar el componente de emergencia o para atribuir montajes inexistentes.	HUMANITARIO	negación o invención de emergencias	Original: La cobertura informativa de la inmigración en Televisión Española. El caso del barco Aquarius. Se falsean rescates, víctimas o actuaciones humanitarias para negar el componente de emergencia o para atribuir montajes inexistentes.	2021-01-20
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: La cobertura informativa de la inmigración en Televisión Española. El caso del barco Aquarius	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en HUMANITARIO: Se reescribe el enfoque humanitario para insinuar que los rescates son una estrategia política o un privilegio, minimizando el riesgo vital descrito en el original.	HUMANITARIO	deshumanización del rescate	Original: La cobertura informativa de la inmigración en Televisión Española. El caso del barco Aquarius. Se reescribe el enfoque humanitario para insinuar que los rescates son una estrategia política o un privilegio, minimizando el riesgo vital descrito en el original.	2021-01-20
[NO GENERADO POR SEGURIDAD] Variante FALSO sobre: Periodistas en la frontera: análisis de su trabajo cubriendo informaciones de inmigración	FALSO	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en VIGILANCIA DE FRONTERAS: Se afirma falsamente que se han retirado controles, abierto fronteras o perdido el control territorial sin base en el contenido original.	VIGILANCIA DE FRONTERAS	invención de fallos o aperturas fronterizas	Original: Periodistas en la frontera: análisis de su trabajo cubriendo informaciones de inmigración. Se afirma falsamente que se han retirado controles, abierto fronteras o perdido el control territorial sin base en el contenido original.	2020-03-31
[NO GENERADO POR SEGURIDAD] Variante MISLEADING sobre: Periodistas en la frontera: análisis de su trabajo cubriendo informaciones de inmigración	MISLEADING	No se ha generado un texto desinformativo utilizable. Esta fila documenta de forma analítica cómo podría distorsionarse una pieza clasificada en VIGILANCIA DE FRONTERAS: Se amplifican episodios o debates sobre frontera para transmitir una imagen de colapso permanente del control fronterizo.	VIGILANCIA DE FRONTERAS	exageración operativa	Original: Periodistas en la frontera: análisis de su trabajo cubriendo informaciones de inmigración. Se amplifican episodios o debates sobre frontera para transmitir una imagen de colapso permanente del control fronterizo.	2020-03-31
